chain	iteration	posterior	likelihood	aRP1	aRP2	aRP3	aJZ1	aJZ2	aJZ3	aTZ1	aTZ2	aTZ3	startP1	startP2	startP3	startZ1	startZ2	startZ3	fR	K	sdZ	sdP	fJ	d	W	q
0	12000	-140.081049	-140.081049	24.387424	2.232555	114.363623	95.710318	113.723277	172.893241	0.200782	0.952599	3.519900	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.103026	1.083239	1.527397	0.900000	0.005570	1.987982	1.266917
0	12100	-138.562062	-138.562062	28.785051	2.824891	101.542369	148.897190	113.723277	167.084612	0.749443	0.535088	2.756310	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.103026	1.152640	1.598420	0.900000	0.051763	2.090020	1.328139
0	12200	-138.162280	-138.162280	29.559038	2.700448	98.630771	122.306591	99.231975	125.281319	0.504629	0.567161	2.849291	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.102024	1.035264	1.329089	0.900000	0.003485	1.754895	1.395660
0	12300	-140.180014	-140.180014	28.208305	1.634923	105.411625	96.803230	115.011847	122.769503	0.390185	0.400190	3.468090	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.100674	1.052384	1.522643	0.900000	0.013301	1.802411	1.403663
0	12400	-140.267250	-140.267250	28.208305	1.820277	103.600474	66.408191	77.747850	110.884568	0.292045	0.180408	2.517579	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.100674	1.027925	1.313322	0.900000	0.051017	1.811648	1.385310
0	12500	-140.914998	-140.914998	28.208305	3.122137	91.751849	82.760534	86.267887	103.065424	0.460165	0.228469	2.771655	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.100569	1.105899	1.468858	0.900000	0.001116	1.173246	1.424696
0	12600	-139.124224	-139.124224	29.036341	3.010825	93.057305	73.437456	67.566085	53.222939	0.393135	0.304281	2.794681	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.100743	1.100990	1.695911	0.900000	0.035221	1.090041	1.506611
0	12700	-138.353056	-138.353056	33.763627	2.971943	93.057305	71.848326	95.709318	56.382223	0.472161	0.717752	2.225994	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.101368	1.059934	1.443425	0.900000	0.093080	0.940145	1.535406
0	12800	-138.116284	-138.116284	34.050668	2.600265	93.057305	60.145396	86.933978	67.481919	0.367673	0.628690	2.430678	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.100162	0.975078	1.381192	0.900000	0.069811	0.907267	1.531246
0	12900	-139.829800	-139.829800	30.578542	3.185429	87.321817	60.145396	56.008552	60.948529	0.396883	0.809531	2.437806	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.101171	1.127409	1.625312	0.900000	0.024749	0.941401	1.504713
0	13000	-139.537317	-139.537317	32.293112	2.688199	100.741889	27.896605	83.440053	82.679148	0.056114	0.940190	2.327142	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.103126	1.018357	1.718129	0.900000	0.024754	0.946033	1.466983
0	13100	-139.297140	-139.297140	36.593240	2.127653	101.199243	35.389165	94.184663	117.828306	0.056114	1.321709	2.673213	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.104060	1.303730	1.594118	0.900000	0.033576	0.970517	1.456682
0	13200	-137.853317	-137.853317	38.093681	2.250540	102.018522	46.551299	100.580201	153.478868	0.245194	1.453320	3.177071	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.104330	1.004264	1.435931	0.900000	0.074674	0.935798	1.438195
0	13300	-138.248985	-138.248985	35.670296	2.215051	96.992071	60.507391	61.113809	64.432523	0.492316	0.559260	3.020704	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.102470	1.212447	1.401922	0.900000	0.075870	0.909975	1.441855
0	13400	-139.117573	-139.117573	36.511230	2.124481	96.992071	50.308751	79.184918	121.765619	0.231947	0.472273	3.401433	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.102470	1.308193	1.513084	0.900000	0.040598	1.008499	1.464439
0	13500	-143.796703	-143.796703	38.136709	2.323876	91.840377	83.363480	101.858534	57.869901	0.357803	1.025692	3.167560	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.102781	1.463815	1.810571	0.900000	0.029745	1.049306	1.515540
0	13600	-143.732864	-143.732864	42.838791	3.085578	89.507742	57.257892	131.827423	33.207461	0.876174	1.207232	2.720829	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.103888	1.492067	1.313298	0.900000	0.087465	0.761176	1.539637
0	13700	-142.009833	-142.009833	38.874086	3.391174	85.149552	47.379530	104.170126	64.193987	0.607645	1.010103	2.217301	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.103888	1.332574	1.595999	0.900000	0.055783	0.827791	1.543213
0	13800	-138.059237	-138.059237	35.093411	2.104841	89.528002	105.533643	121.940900	128.603934	0.292634	0.621614	2.844994	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.100136	1.123428	1.263220	0.900000	0.065609	1.377180	1.511738
0	13900	-140.121589	-140.121589	32.948886	2.775731	85.962201	148.391354	171.826174	72.632838	0.546500	1.002521	2.113285	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.100136	1.302587	1.425999	0.900000	0.081301	1.609929	1.516002
0	14000	-137.767883	-137.767883	32.406062	2.833235	89.490317	152.113663	186.518699	194.545461	0.122183	0.770845	2.690933	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.100414	1.048529	1.400876	0.900000	0.015663	1.947977	1.512990
0	14100	-139.564313	-139.564313	34.767118	2.245419	92.535322	97.704046	179.493431	143.785966	0.111101	0.712981	3.245019	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.101313	1.034485	1.475442	0.900000	0.037562	2.152597	1.443003
0	14200	-138.480779	-138.480779	35.198333	2.245419	93.877457	131.021541	141.020546	91.855380	0.498543	0.990953	2.651435	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.101425	0.993415	1.457952	0.900000	0.050019	1.775641	1.426469
0	14300	-139.516070	-139.516070	33.231512	2.980632	96.419986	126.854136	138.512556	155.105491	0.792734	0.946822	2.494407	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.102664	1.058363	1.597396	0.900000	0.080505	1.416285	1.399499
0	14400	-140.719171	-140.719171	32.951355	2.345894	98.049184	199.618511	74.627593	62.217093	0.744836	0.469702	2.225941	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.102131	1.206993	1.452219	0.900000	0.048071	1.509392	1.434452
0	14500	-142.646643	-142.646643	36.811487	2.404014	91.251766	134.080094	110.631495	38.266952	0.945283	1.156980	2.512006	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.100474	1.317435	1.950305	0.900000	0.091913	1.482922	1.381955
0	14600	-141.944040	-141.944040	35.928831	2.475502	87.765829	122.938474	84.206888	72.612736	0.859706	0.725811	2.096660	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.100775	1.317435	1.228238	0.900000	0.082465	1.449480	1.325225
0	14700	-141.150896	-141.150896	35.789864	2.850132	88.812279	99.084718	40.720562	80.533380	0.413846	0.296893	2.964592	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.102112	1.271334	1.285764	0.900000	0.020599	1.293519	1.370484
0	14800	-139.365145	-139.365145	37.233462	2.616569	91.277704	99.084718	95.130259	171.281719	0.425162	0.268966	3.272914	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.102128	1.098133	1.217761	0.900000	0.090577	1.503364	1.384654
